timestamp(ms),Moisture,
"1717686873.322","502",
"1717686873.422","502",
"1717686873.522","502",
"1717686873.622","504",
"1717686873.722","502",
"1717686873.823","502",
"1717686873.922","502",
"1717686874.022","502",
"1717686874.122","502",
"1717686874.223","500",
"1717686874.322","500",
"1717686874.423","500",
"1717686874.522","502",
"1717686874.622","502",
"1717686874.722","502",
"1717686874.822","503",
"1717686874.922","502",
"1717686875.023","503",
"1717686875.122","502",
"1717686875.223","503",
"1717686875.322","503",
"1717686875.422","503",
"1717686875.522","503",
"1717686875.622","506",
"1717686875.723","502",
"1717686875.823","503",
"1717686875.923","502",
"1717686876.023","502",
"1717686876.122","502",
"1717686876.222","502",
"1717686876.322","502",
"1717686876.422","501",
"1717686876.522","500",
"1717686876.622","500",
"1717686876.723","502",
"1717686876.822","502",
"1717686876.922","503",
"1717686877.022","502",
"1717686877.123","502",
"1717686877.222","502",
"1717686877.322","503",
"1717686877.422","502",
"1717686877.522","502",
"1717686877.623","502",
"1717686877.722","502",
"1717686877.822","502",
"1717686877.923","502",
"1717686878.022","502",
"1717686878.123","502",
"1717686878.223","502",
"1717686878.322","502",
"1717686878.422","502",
"1717686878.522","505",
"1717686878.622","502",
"1717686878.722","505",
"1717686878.823","502",
"1717686878.923","503",
"1717686879.022","502",
"1717686879.123","502",
"1717686879.222","502",
"1717686879.323","502",
"1717686879.422","502",
"1717686879.523","502",
"1717686879.622","502",
"1717686879.722","501",
"1717686879.822","502",
"1717686879.922","502",
"1717686880.022","501",
"1717686880.123","502",
"1717686880.222","501",
"1717686880.322","501",
"1717686880.422","501",
"1717686880.522","502",
"1717686880.622","502",
"1717686880.722","502",
"1717686880.822","502",
"1717686880.922","501",
"1717686881.022","502",
"1717686881.122","502",
"1717686881.223","501",
"1717686881.322","500",
"1717686881.423","501",
"1717686881.522","500",
"1717686881.622","500",
"1717686881.722","502",
"1717686881.822","501",
"1717686881.922","501",
"1717686882.023","502",
"1717686882.123","502",
"1717686882.223","501",
"1717686882.322","501",
"1717686882.423","505",
"1717686882.523","505",
"1717686882.623","502",
"1717686882.723","502",
"1717686882.823","502",
"1717686882.923","500",
"1717686883.022","502",
"1717686883.123","502",
"1717686883.222","502",
"1717686883.323","500",
"1717686883.423","502",
"1717686883.522","502",
"1717686883.622","502",
"1717686883.723","502",
"1717686883.822","502",
"1717686883.923","502",
"1717686884.022","502",
"1717686884.123","502",
"1717686884.222","502",
"1717686884.323","502",
"1717686884.422","502",
"1717686884.523","502",
"1717686884.622","501",
"1717686884.722","501",
"1717686884.823","504",
"1717686884.923","501",
"1717686885.023","502",
"1717686885.122","502",
"1717686885.222","503",
"1717686885.323","501",
"1717686885.423","502",
"1717686885.523","502",
"1717686885.623","502",
"1717686885.723","502",
"1717686885.823","502",
"1717686885.923","502",
"1717686886.023","501",
"1717686886.123","502",
"1717686886.223","502",
